attribute_count,credential_count,"Non-Private, Multi Issuer","Non-Private, Single Issuer (Batch Verif)","Private, Multi Issuer","Private, Multi Issuer Show","Private, Multi Issuer Verify","Private, Single Issuer (Batch Verif)","Private, Single Issuer Show"
4,4,6.78761864375,2.8734911758823545,17.732197899999992,5.606542271111111,17.645501550000002,7.11140083,4.508382469166666
4,16,27.449483315,10.083083771999998,71.16565873,22.881641396666662,72.57000373999999,25.84667852,18.792201683333335
4,32,57.879671159999994,19.551108619999997,143.27807533,45.13395564,147.35441283,50.63672044,37.0125377
16,4,6.77421775875,2.8496255550000003,18.60913264666667,6.411177285,18.669030123333332,7.277473037142859,5.006929013636366
16,16,27.690349575,10.032769424,75.1194821,25.74943229,76.51875039,27.1150108,20.237366920000003
16,32,54.31078628,19.78972515666667,149.60443581,51.628516270000006,148.24001372,53.99711408,40.10467085
32,4,6.80760963375,2.8666820599999996,20.18037237333333,7.803414407142861,19.887180560000004,8.031380597142858,5.613105276666667
32,16,27.14321478,10.182671334000002,80.56049082,31.839642925,82.40841084,30.05536711,23.14398019
32,32,53.98687409,19.393858746666663,161.31332831,62.569341259999995,160.4784329,59.25376883,44.94478646500001
